 ,
敏感词,Sensitive Word
天降伟人,
奴隶制,
千秋万载,
五百年,
1984,
小熊维尼,
歪脖子树,
长生不老,
不要脸,
倒行逆施,
倒车,
我反对,
无限续杯,
吾皇万岁,
千秋万代,
一统江湖,
黄袍加身,
昏君,
登基,
称帝,
终身,
年号,
复辟,
元年,
劝进,
封禅,
张勋,
蔡锷,
袁世凯,
袁大头,
洪宪,
春晚吐槽,
春晚+包子,
春晚+垃圾,
春晚+恶心,
春晚+傻逼,
春晚+烂,
低端人口,
1955+2017,1955+2017
自由＋刘霞,free + Liu Xia
放＋刘霞,release + Liu Xia
海葬,sea burial
没有敌人,Have No Enemies
包子＋登基,steamed bun + acends the throne
无所畏惧,fearless 
我没有敌人,I Have No Enemies
诺奖,Nobel prize
审美与人的自由,Aesthetics and Human Freedom
刘先生,Mister Liu
xiao bo,xiao bo
晓波,Xiaobo
小波,Xiaobo
黄曲霉素,Aspergillus flavus
LXB,LXB
73,73
七三,73
王山支山,
徐晓冬＋封号,Xu Xiaodong + cancelled
徐晓冬＋太极,Xu Xiaodong + taiqi
徐晓冬＋打假,Xu Xiaodong + fight faked 
徐晓冬＋黑幕,Xu Xiaodong + dirty tricks
华山医院,Huashan Hospital
提头来见,
含赵量,
赵＋核心,Zhao + core
陕西＋爆炸,Shaanxi + explosion
榆林＋大爆炸,Yulin + big explosion
府谷＋大爆炸,Fugu [County] + big explosion
榆林府谷＋发生爆炸,Yulin Fugu + explosion occurred
府谷县新民镇＋发生爆炸,Fugu County Xinmin Town + explosion occurred 
嫖娼之外的另一种可能,another possibility besides soliciting a prostitute
雷洋案＋引导舆论,Lei Yang case + guide public opinion
雷洋＋龙锦,Lei Yang + Longquan
雷洋＋下跪,Lei Yang + kneel
雷洋＋戴套,Lei Yang + wear a condom
雷洋＋事件,Lei Yang + incident
雷洋＋伤痕,Lei Yang + bruise
雷洋＋陈有西,Lei Yang + Chen Youxi
硕士雷洋＋嫖娼,"Lei Yang, M.S. + solicit a prostitute"
记者无疆界,Reporters Without Borders
无国界记者,Reporters Without Borders
五岳散人,Wuyuesanren
文革 + 周永康,Cultural Revolution + Zhou Yongkang
文革＋复辟,Cultural Revolution + restoration
心腹＋王小洪,trusted aide + Wang Xiaohong
亲信＋王小洪,trusted aide + Wang Xiaohong
下一届＋习,next session + Xi
孙政才＋入常,Sun Zhengcai + join [Politburo Standing] Committee
邓猫,"Deng cat [could mean ""Deng Xiaoping and Mao Zedong"" or ""Deng Xiaoping cat""] "
中共国家恐怖主义暴行展,exhibit of CCP state's terrorist atrocities
中共＋言而无信,CCP + go back on one's word
坦克＋六月,tank + June 
葛洵,George Ge (Ge Xun)
陈维明,Chen Weiming
ZZY（指赵紫阳）,ZZY (Zhao Ziyang)
WJB（指温家宝）,WJB (Wen Jiabao)
私处,genitalia
舔逼,lick pussy
激情＋视频,passion + video
5月35日来,May 35 comes
雷洋＋报案,Lei Yang + report case
雷洋＋阴部,Lei Yang + private parts
雷洋＋睾丸,Lei Yang + testicle
雷洋＋右额部,Lei Yang + right side of forehead
我要真普选,I want universal suffrage
文革＋重来,Cultural Revolution + redo
426＋四二六社论,426 + four two six editorial
红树林,mangrove
光天化日＋前中共,light of day + former CCP
芮成钢,Rui Chenggang
女婴＋疫苗＋死亡,female infant + vaccine + die
河北＋女婴＋疫苗,Hebei + female infant + vaccine
巴拿马,Panama
八拿马,Banama (Panama)
banama,banama (Panama)
运河文件,[Panama] Canal Papers
拿马文件,[Pa]nama Papers
洗钱＋姐夫,launder money + brother-in-law
习＋妹夫,Xi + brother-in-law
中国高官＋离岸,top Chinese official + offshore
温氏家族,Wen [Jiabao] clan
习＋炸,Xi + explode
万达＋权贵,Wanda + bigwig
乐视＋跃亭,Leshi + [Jia] Yueting
June 4,June 4
5毛＋网评,50 cents + internet commentary
很淫蕩,very lewd
Panama,Panama
总理＋辞职,premier + resign
总理＋下台,premier + step down
离岸＋金融,offshore + finance
小琳＋公主,[Li] Xiaolin + princess
习近平姐夫,Xi Jinping's brother-in-law
Dengjiagui,Dengjiagui [Deng Jiagui]
无法跟着你们姓,unable to bear your surname
余少镭＋辞职,Yu Shaolei + resign
余少镭＋姓,Yu Shaolei + surname
上瘾＋禁播,Addicted + forbidden to broadcast
分享＋太阳的后裔,share + Descendants of the Sun
十年＋金像,Ten Years + [Hong Kong] Film Awards
十年＋电影,Ten Years + film
疫苗＋习,vaccine + Xi
弹弓,slingshot
撒币,throw money around
无官正,Wu Guanzheng [吴官正]
怡红院,Yihong house (from novel Dream of the Red Chamber)
春暖花开,flowers bloom in warm spring (i.e. when ban is lifted on publications)
孟建柱内部谈话＋令完成,Meng Jianzhu internal discussion + Ling Wancheng
万豪国际,Marriott International
反习联盟,anti-Xi alliance
习＋老总,Xi + officer
大大习,Dada Xi [Jinping]
文革＋重来,Cultural Revolution + redo
贾葭＋公开信,Jia Jia + open letter
贾佳＋北京市公安局,Jia Jia + Beijing Public Security Bureau
贾葭＋赴港＋失踪,Jia Jia + go to Hong Kong + missing
贾佳＋机场分局,Jia Jia + airport branch office [of the PSB]
燕薪＋贾葭＋失踪,Yan Xin + Jia Jia + missing
欧阳洪亮＋无界＋失踪,Ouyang Hongliang + Wujie + missing
欧阳洪亮＋失联,Ouyang Hongliang + lose contact
无界新闻＋失联,Wujie News [Watching] + lose contact
阿里巴巴＋无界新闻＋公开信,Alibaba + Wujie News [Watching] + open letter
黑客攻击＋公开信,hack + open letter
习＋辞职＋上位,Xi + resign + top seat
习近平＋辞职,Xi Jinping + resign
习＋公开信,Xi + open letter
习＋无界新闻,Xi + Wujie News [Watching]
习近平＋辞职,Xi Jinping + resign
（习）近平＋辞去,(Xi) Jinping + resign
习＋辞去＋领导职务,Xi + resign + leadership role
辞去＋党和国家＋领导职务,resign + Party and state + leadership role
两会＋段子,Two Sessions + quote
周方＋网络主管部门,Zhou Fang + Internet controlling body
龙煤,Longmei
央视＋黑龙江,CCTV + Heilongjiang
任志强＋质疑习,Ren Zhiqiang + challenge Xi
朱征夫＋认罪,Zhu Zhengfu + admit guilt
坏事变好事,bad deed becomes good deed
罢免李,recall Li [Hongli]
毛尸,Mao corpse
共党＋惨,communist party + brutal
北京＋暴力恐怖,Beijing + violence and terror
